target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
"Alaska Communications Systems Group, Inc.",SPTRD1775987,2020-11-03 00:00:00,M&A - Whole,Terminated/Withdrawn,402.398709,GCM Grosvenor Inc. (NASDAQGM:GCMG); Macquarie Group Limited (ASX:MQG),"Alaska Communications Systems Group, Inc. (:ALSK)",Integrated Telecommunication Services,100.0,1.70148884557163,,402.398709,Yes,6.18,,United States and Canada,"GCM Grosvenor Inc. (Public Company)

Macquarie Group Limited (Public Company)",,communication
"AMC Entertainment Holdings, Inc.",SPTRD163993,2012-05-20 00:00:00,M&A - Whole,Completed,2600.0,"Dalian Wanda Group Co.,Ltd.","AMC Entertainment Holdings, Inc. (NYSE:AMC)",Movies and Entertainment,100.0,,300.098,2600,Yes,16.79,"AMC Entertainment Holdings, Inc. (Public Company)",United States and Canada,,"AMC Entertainment Holdings, Inc. (Public Company)",communication
"Carmike Cinemas, Inc.",SPTRD210384,2016-03-03 00:00:00,M&A - Whole,Completed,1219.700905,"AMC Entertainment Holdings, Inc. (NYSE:AMC)","Carmike Cinemas, Inc. (:CKEC)",Movies and Entertainment,100.0,1.4562160958959,122.41,1219.700905,Yes,10.22,,United States and Canada,"AMC Entertainment Holdings, Inc. (Public Company)",,communication
Central European Media Enterprises Ltd.,SPTRD1640764,2019-10-27 00:00:00,M&A - Whole,Completed,1965.391925,PPF Group N.V.,AT&T Inc. (NYSE:T),Broadcasting,100.0,3.01509595272925,203.441,1965.391925,Yes,9.03,,United States and Canada,,AT&T Inc. (Public Company),communication
"Charter Communications, Inc.",SPTRD170005,2013-03-19 00:00:00,M&A - Minority,Completed,2617.08353,Liberty Media Corporation,"Oaktree Capital Management, L.P.; Apollo Global Management, Inc. (NYSE:APO); Crestview Advisors, L.L.C.",Cable and Satellite,27.3,,2573.0,2617.08353,No,3.73,"Charter Communications, Inc. (Public Company)",United States and Canada,,"Apollo Global Management, Inc. (Public Company)",communication
Cincinnati Bell Inc.,SPTRD1673247,2019-12-23 00:00:00,M&A - Whole,Terminated/Withdrawn,2888.617422,Brookfield Infrastructure Partners L.P. (NYSE:BIP),"The Vanguard Group, Inc.; GAMCO Investors, Inc. (OTCQX:GAMI); BlackRock, Inc. (NYSE:BLK); Nomura Holdings, Inc. (TSE:8604); Ares Management LLC; Credit Suisse AG",Integrated Telecommunication Services,100.0,1.87975364222034,,2888.617422,Yes,7.86,,United States and Canada,Brookfield Infrastructure Partners L.P. (Public Company),"GAMCO Investors, Inc. (Public Company)

BlackRock, Inc. (Public Company)

Nomura Holdings, Inc. (Public Company)",communication
Citadel Broadcasting Corporation,SPTRD156768,2011-02-17 00:00:00,M&A - Whole,Completed,2173.308,Cumulus Media Inc. (OTCPK:CMLS.Q),Citadel Broadcasting Corporation (:CDEL.B),Broadcasting,100.0,,160.957,2173.308,Yes,1.91,,United States and Canada,Cumulus Media Inc. (Public Company),,communication
"Clear Channel Outdoor Holdings, Inc.",SPTRD2193861,2026-02-09 00:00:00,M&A - Whole,Announced,7640.239806,"TWG Global Holdings, LLC; Mubadala Capital","Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",Advertising,100.0,4.76282606630344,471.801,7640.239806,Yes,16.19,"Clear Channel Outdoor Holdings, Inc. (Public Company)",United States and Canada,,"Clear Channel Outdoor Holdings, Inc. (Public Company)",communication
"Conversant, Inc.",SPTRD196867,2014-09-11 00:00:00,M&A - Whole,Completed,2304.802886,"Bread Financial Holdings, Inc. (NYSE:BFH)","Conversant, Inc. (:CNVR)",Advertising,100.0,3.91377111227492,181.59,2304.802886,Yes,11.82,,United States and Canada,"Bread Financial Holdings, Inc. (Public Company)",,communication
"Cox Communications, Inc.",SPTRD2147933,2025-05-16 00:00:00,M&A - Whole,Announced,36697.552,"Charter Communications, Inc. (NASDAQGS:CHTR)","Cox Enterprises, Inc.",Cable and Satellite,100.0,,4939.0,36697.552,Yes,7.43,,United States and Canada,"Charter Communications, Inc. (Public Company)",,communication
